seed,avg_sicurezza,avg_biglietteria,avg_controlli,avg_mario_std,avg_mario_exp,avg_hp_std,avg_hp_exp
123456789,600.4974,1332.1875,273.5692,6735.8810,78.5129,3007.3799,203.5807
1186174369,638.5020,1264.4868,255.6879,6688.6152,61.9654,2763.2436,403.6733
1862171032,612.6582,1367.6037,289.1972,7137.9715,104.2184,2610.4515,159.0025
254520368,543.6958,1339.3167,306.3126,6830.9559,151.9420,2618.9220,272.9851
2008319922,600.9077,1381.5986,324.6028,6491.0472,56.0019,2649.9810,247.6563
49341648,553.6628,1330.9298,254.7556,6346.0530,42.5400,2499.7931,237.6771
761588005,581.5200,1319.5506,288.4800,6778.7037,134.4030,2852.2900,140.4943
623864209,552.2037,1383.2325,248.6425,6695.0292,106.2715,2820.7864,219.5556
167228620,615.5929,1421.1949,280.4654,6957.2624,64.6693,2612.9243,65.5425
1442582095,652.0662,1405.2494,306.2276,7164.9206,171.3918,2662.2860,91.0525
1826361560,596.0092,1377.9621,334.1752,6300.8437,94.0816,3015.5416,124.1848
1418198249,573.1110,1433.6217,233.7634,6706.9861,112.5227,2491.3514,190.2805
1027114900,555.9869,1524.6684,264.1611,6705.2164,34.4659,2543.1411,108.9056
719463368,582.2518,1291.1870,316.0327,6658.9502,92.2170,2679.4943,191.5559
963285832,596.4151,1185.6831,236.4141,7065.3696,277.1948,2574.9026,126.3659
1554499527,642.3388,1234.5078,311.0442,7130.8398,149.8534,2617.7247,343.4986
1750439608,587.9758,1347.4427,290.5887,6798.4919,146.1346,2480.1820,461.9882
1587609779,609.0928,1442.2440,265.8566,6632.1860,197.8930,2672.4884,122.6897
125537125,601.2829,1144.1703,326.0224,6802.4073,68.9631,2701.0287,106.4909
575879667,698.6506,1162.7087,308.8414,6813.4074,166.0482,2820.6639,162.2082
1008138834,597.1322,1451.3952,294.8340,6699.2836,146.8881,2635.5533,75.0415
484764695,621.9791,1217.8589,318.7357,6900.9830,127.8634,2788.5587,105.5473
1517832035,613.9493,1414.9745,258.7636,6832.0404,215.7101,2901.3943,256.9806
490323383,562.3853,1177.7691,348.0863,6936.0544,169.4462,2630.3197,388.3334
573522332,575.4765,1310.8433,272.9558,6741.1296,60.6211,2670.9805,73.1758
624212696,533.2876,1263.2880,280.9076,6321.0483,70.8150,3090.1321,559.0967
621993500,632.2976,1398.5555,276.9183,6985.9906,58.9162,2602.2864,54.4626
648860251,597.3425,1415.8014,246.5406,6638.2311,81.1206,2691.1946,425.3976
85170222,640.3316,1404.7382,301.4722,6672.2322,62.0029,2898.3704,208.0648
1768028919,578.3715,1319.2543,309.1021,7047.6245,58.1937,2501.6936,60.8032
519244943,652.5197,1391.1069,344.4960,6951.9521,78.1079,2837.9492,379.4246
1242912904,542.3577,1255.9008,280.0674,6501.0425,131.2341,2607.2459,84.7938
928379944,557.1536,1320.8158,301.7588,6893.8746,119.9289,2430.5720,178.9237
1171258150,643.2741,1261.6291,256.5332,6900.1854,97.2129,2843.1732,307.6816
468633287,563.5447,1594.7076,256.8365,6682.4299,149.4567,2960.2691,94.4375
617548710,590.8040,1182.8662,297.2907,7054.3073,145.5522,2887.9615,258.6255
1964480763,522.9421,1601.5912,212.9828,6486.9370,64.9905,2696.2578,487.6433
1423764826,682.5565,1237.7619,294.6498,6853.3183,95.2298,2635.1005,135.8813
1012664101,605.1715,1213.3384,279.0026,6638.9139,118.4013,2962.3830,230.3022
1830424445,535.9666,1466.4836,302.0207,6726.5722,156.5286,2961.5351,122.3038
924224866,591.7128,1306.0830,270.0897,6548.5794,161.2751,2492.5897,198.5870
985107768,592.4268,1410.9724,241.8295,6508.1195,64.4732,2823.1882,426.9826
252205882,594.1197,1358.5798,223.4533,6792.5314,95.6092,2761.0121,83.5364
658199479,614.9992,1401.2927,301.7276,6840.6207,159.7610,2630.1878,125.2376
1304990676,607.2735,1336.5408,259.1172,6878.7767,94.9727,2972.7589,434.5522
1458235181,554.8775,1365.5131,307.8773,6979.9261,75.3401,2810.3833,164.3974
504550943,508.8244,1222.4675,303.0708,6684.7484,113.5693,2452.7476,111.5508
2000035583,596.7071,1218.8691,265.8815,7050.2184,452.2192,2673.8409,230.8977
1048376953,591.2338,1608.5302,255.1030,6854.9138,76.6043,2685.3447,224.4655
97171556,660.7657,1358.5076,314.5024,6458.4896,83.9334,2775.5138,288.5367
1046708106,567.7396,1203.8685,293.9511,6991.9512,119.6622,2771.3575,381.7868
643073509,622.3944,1247.2279,329.1556,6404.7033,84.3957,2771.5445,251.3608
1064807352,608.2511,1365.9952,299.3850,6750.1930,89.7714,2400.7240,76.4125
1616164287,604.7672,1197.4888,288.4742,6784.7898,119.4126,2849.5345,112.5951
1664304146,607.6243,1262.4567,348.9213,6823.7869,186.6005,2709.7647,221.1219
322564328,606.1881,1290.2522,260.2483,6746.8203,92.8153,2802.8391,48.5890
1622777813,638.4979,1215.4080,303.8942,6454.5339,78.8687,2914.1546,121.9724
1455270022,548.0614,1164.5537,331.3721,6862.7012,56.6942,2843.1164,347.0852
133592146,528.7071,1253.6692,328.9955,6743.5253,77.8449,2863.7488,635.5268
